course_id,Quarter,Year,Professor,num_due,grade_breakdown,office_hours,by_appointment
3647,Autumn,2015,JUNKER ANDREW,Not enough information available.,final paper: 25%; participation: 25%; papers: 60%; paper: 15%; paper: 20%; paper: 25%; cutoff percentages: 93%; class leadership: 15%,2.8333333333,Yes
3647,Autumn,2015,WERNER JAKE,Not enough information available.,final paper: 25%; participation: 25%; papers: 60%; paper: 15%; paper: 20%; paper: 25%; cutoff percentages: 93%; class leadership: 15%,2.8333333333,Yes
3647,Autumn,2015,MAOZ EILAT,Not enough information available.,final paper: 25%; participation: 25%; papers: 60%; paper: 15%; paper: 20%; paper: 25%; cutoff percentages: 93%; class leadership: 15%,2.8333333333,Yes
3647,Autumn,2015,WERNER JAKE,Not enough information available.,final paper: 25%; participation: 25%; papers: 60%; paper: 15%; paper: 20%; paper: 25%; cutoff percentages: 93%; class leadership: 15%,2.8333333333,Yes
3647,Autumn,2015,KENT STACIE,Not enough information available.,final paper: 25%; participation: 25%; papers: 60%; paper: 15%; paper: 20%; paper: 25%; cutoff percentages: 93%; class leadership: 15%,2.8333333333,Yes
3647,Autumn,2015,BREWER ALEXANDRA,Not enough information available.,final paper: 25%; participation: 25%; papers: 60%; paper: 15%; paper: 20%; paper: 25%; cutoff percentages: 93%; class leadership: 15%,2.8333333333,Yes
3647,Autumn,2015,SIMEONE LISA,Not enough information available.,final paper: 25%; participation: 25%; papers: 60%; paper: 15%; paper: 20%; paper: 25%; cutoff percentages: 93%; class leadership: 15%,2.8333333333,Yes
3647,Autumn,2015,AHMED OMER,Not enough information available.,final paper: 25%; participation: 25%; papers: 60%; paper: 15%; paper: 20%; paper: 25%; cutoff percentages: 93%; class leadership: 15%,2.8333333333,Yes
3647,Autumn,2015,JOHNSON WHITNEY,Not enough information available.,final paper: 25%; participation: 25%; papers: 60%; paper: 15%; paper: 20%; paper: 25%; cutoff percentages: 93%; class leadership: 15%,2.8333333333,Yes
3647,Autumn,2015,TAYLOR SIMON,Not enough information available.,final paper: 25%; participation: 25%; papers: 60%; paper: 15%; paper: 20%; paper: 25%; cutoff percentages: 93%; class leadership: 15%,2.8333333333,Yes
3647,Autumn,2015,LOEFFLER MARK,Not enough information available.,final paper: 25%; participation: 25%; papers: 60%; paper: 15%; paper: 20%; paper: 25%; cutoff percentages: 93%; class leadership: 15%,2.8333333333,Yes
3647,Autumn,2015,TAYLOR SIMON,Not enough information available.,final paper: 25%; participation: 25%; papers: 60%; paper: 15%; paper: 20%; paper: 25%; cutoff percentages: 93%; class leadership: 15%,2.8333333333,Yes
3647,Autumn,2015,LOEFFLER MARK,Not enough information available.,final paper: 25%; participation: 25%; papers: 60%; paper: 15%; paper: 20%; paper: 25%; cutoff percentages: 93%; class leadership: 15%,2.8333333333,Yes
3647,Autumn,2015,SINGH SUNIT,Not enough information available.,final paper: 25%; participation: 25%; papers: 60%; paper: 15%; paper: 20%; paper: 25%; cutoff percentages: 93%; class leadership: 15%,2.8333333333,Yes
3647,Autumn,2015,BEAL ELIZABETH,Not enough information available.,final paper: 25%; participation: 25%; papers: 60%; paper: 15%; paper: 20%; paper: 25%; cutoff percentages: 93%; class leadership: 15%,2.8333333333,Yes
3647,Autumn,2015,RABIE KAREEM,Not enough information available.,final paper: 25%; participation: 25%; papers: 60%; paper: 15%; paper: 20%; paper: 25%; cutoff percentages: 93%; class leadership: 15%,2.8333333333,Yes
3647,Autumn,2015,STERN ROBERT,Not enough information available.,final paper: 25%; participation: 25%; papers: 60%; paper: 15%; paper: 20%; paper: 25%; cutoff percentages: 93%; class leadership: 15%,2.8333333333,Yes
3647,Autumn,2015,FONG BENJAMIN,Not enough information available.,final paper: 25%; participation: 25%; papers: 60%; paper: 15%; paper: 20%; paper: 25%; cutoff percentages: 93%; class leadership: 15%,2.8333333333,Yes
3647,Autumn,2015,GARRIDO MARCO,Not enough information available.,final paper: 25%; participation: 25%; papers: 60%; paper: 15%; paper: 20%; paper: 25%; cutoff percentages: 93%; class leadership: 15%,2.8333333333,Yes
3647,Autumn,2015,ROTHMAN AVIVA,Not enough information available.,final paper: 25%; participation: 25%; papers: 60%; paper: 15%; paper: 20%; paper: 25%; cutoff percentages: 93%; class leadership: 15%,2.8333333333,Yes
3647,Autumn,2015,RABIE KAREEM,Not enough information available.,final paper: 25%; participation: 25%; papers: 60%; paper: 15%; paper: 20%; paper: 25%; cutoff percentages: 93%; class leadership: 15%,2.8333333333,Yes
3647,Autumn,2015,ROTHMAN AVIVA,Not enough information available.,final paper: 25%; participation: 25%; papers: 60%; paper: 15%; paper: 20%; paper: 25%; cutoff percentages: 93%; class leadership: 15%,2.8333333333,Yes
3647,Autumn,2015,ARZUAGA FABIAN,Not enough information available.,final paper: 25%; participation: 25%; papers: 60%; paper: 15%; paper: 20%; paper: 25%; cutoff percentages: 93%; class leadership: 15%,2.8333333333,Yes
2242,Winter,2019,OEINDRILLA DUBE,1,assignments: 15%; memo assignments: 15%,4,No
3658,Autumn,2017,N,1,midterm : 10%; attendance: 10%; participation: 30%; paper: 30%; class presentation: 20%; 30 points: 30%,N/A,N/A
3658,Autumn,2017,/,1,midterm : 10%; attendance: 10%; participation: 30%; paper: 30%; class presentation: 20%; 30 points: 30%,N/A,N/A
3658,Autumn,2017,A,1,midterm : 10%; attendance: 10%; participation: 30%; paper: 30%; class presentation: 20%; 30 points: 30%,N/A,N/A
934,Winter,2019,MILLER JOHN,2,final paper: 20%,N/A,N/A
874,Spring,2018,"MANASI DESHPANDE, MICHELE CARTER, MAURICIO CHIKITANI, MAXWELL KELLOGG",Not enough information available.,final : 10%,5.5,No
3638,Winter,2018,N,Not enough information available.,No grade breakdown available.,0,Yes
3638,Winter,2018,/,Not enough information available.,No grade breakdown available.,0,Yes
3638,Winter,2018,A,Not enough information available.,No grade breakdown available.,0,Yes
341,Winter,2018,"MEISHAN ZHAO, NORBERT SCHERER",2,homework: 30%,2,Yes
341,Winter,2018,"MEISHAN ZHAO, ANDREI TOKMAKOFF",2,homework: 30%,2,Yes
349,Winter,2018,"VALERIE KELLER, BRYAN DICKINSON",Not enough information available.,assignments: 20%,2,No
659,Autumn,2018,BLASE UR,Not enough information available.,assignments: 60%,N/A,N/A
2112,Winter,2017,ANNE HENLY,0,project: 20%; research group: 10%,0,Yes
1593,Winter,2018,DREW MOORE,Not enough information available.,homework: 10%; each final: 40%,-10,No
1593,Winter,2018,JIA KONG,Not enough information available.,homework: 10%; each final: 40%,-10,No
1593,Winter,2018,REID HARRIS,Not enough information available.,homework: 10%; each final: 40%,-10,No
1593,Spring,2018,ALLAN ADAM,Not enough information available.,homework: 2%; quiz: 6%; quiz: 25%; midterm : 35%; as follows: 9%,2,Yes
1593,Spring,2018,DATTA SWARNENDU,Not enough information available.,homework: 2%; quiz: 6%; quiz: 25%; midterm : 35%; as follows: 9%,2,Yes
1593,Spring,2018,GAZAKI EVANGELIA,Not enough information available.,homework: 2%; quiz: 6%; quiz: 25%; midterm : 35%; as follows: 9%,2,Yes
1592,Winter,2018,BENJAMIN O'CONNOR,Not enough information available.,homework: 20%; midterms: 20%; final exam: 40%; grading scheme: 90%,-10,No
1592,Winter,2018,ANTHONY CHAVES AGUILAR,Not enough information available.,homework: 20%; midterms: 20%; final exam: 40%; grading scheme: 90%,-10,No
3785,Spring,2018,MEIR ELRAN,Not enough information available.,final paper: 50%; participation: 25%; paper: 25%,1.75,Yes
2713,Autumn,2018,ANDREW CUTLER,Not enough information available.,No grade breakdown available.,N/A,N/A
3738,Spring,2018,KIMBERLY WOLSKE,0,attendance: 10%; project: 37%; papers: 30%,1,Yes
3648,Spring,2018,PERRY SHEROUSE,Not enough information available.,final paper: 15%,1.5,Yes
2970,Spring,2018,JUSTIN GRIMMER,Not enough information available.,participation: 25%; paper: 50%; midterm exam: 25%,0,Yes
2970,Spring,2018,LUC ANSELIN,Not enough information available.,participation: 25%; paper: 50%; midterm exam: 25%,0,Yes
2970,Spring,2018,SELENA ZHONG,Not enough information available.,participation: 25%; paper: 50%; midterm exam: 25%,0,Yes
2970,Spring,2018,JI XUE,Not enough information available.,participation: 25%; paper: 50%; midterm exam: 25%,0,Yes
2970,Spring,2018,BARNARD KI SEONG CHOI,Not enough information available.,participation: 25%; paper: 50%; midterm exam: 25%,0,Yes
2970,Spring,2018,MILENA ANG COLLAN GRANILLO,Not enough information available.,participation: 25%; paper: 50%; midterm exam: 25%,0,Yes
2970,Spring,2018,LAUREN PEREZ,Not enough information available.,participation: 25%; paper: 50%; midterm exam: 25%,0,Yes
2970,Spring,2018,MILENA ANG COLLAN GRANILLO,Not enough information available.,participation: 25%; paper: 50%; midterm exam: 25%,0,Yes
2970,Spring,2018,DINGXIN ZHAO,Not enough information available.,participation: 25%; paper: 50%; midterm exam: 25%,0,Yes
2970,Spring,2018,IDOLLY KEELS,Not enough information available.,participation: 25%; paper: 50%; midterm exam: 25%,0,Yes
3741,Spring,2017,N,0,final exam: 50%,N/A,N/A
3741,Spring,2017,/,0,final exam: 50%,N/A,N/A
3741,Spring,2017,A,0,final exam: 50%,N/A,N/A
2909,Winter,2018,STEPHEN HASWELL TODD,0,No grade breakdown available.,0,Yes
2909,Winter,2018,STEPHEN HASWELL TODD,0,No grade breakdown available.,0,Yes
2909,Winter,2018,KATHERINE KADUE,0,No grade breakdown available.,0,Yes
2909,Winter,2018,STUART MCMANUS,0,No grade breakdown available.,0,Yes
207,Autumn,2017,N,0,participation: 10%; grading lab: 20%; exam 1: 15%; exam 2: 15%; exam 3: 15%; exam 4: 15%; canvas quizzes: 10%,1,No
207,Autumn,2017,/,0,participation: 10%; grading lab: 20%; exam 1: 15%; exam 2: 15%; exam 3: 15%; exam 4: 15%; canvas quizzes: 10%,1,No
207,Autumn,2017,A,0,participation: 10%; grading lab: 20%; exam 1: 15%; exam 2: 15%; exam 3: 15%; exam 4: 15%; canvas quizzes: 10%,1,No
3608,Autumn,2017,N,Not enough information available.,No grade breakdown available.,2,No
3608,Autumn,2017,/,Not enough information available.,No grade breakdown available.,2,No
3608,Autumn,2017,A,Not enough information available.,No grade breakdown available.,2,No
3717,Winter,2018,N,Not enough information available.,No grade breakdown available.,4.6666666667,Yes
3717,Winter,2018,/,Not enough information available.,No grade breakdown available.,4.6666666667,Yes
3717,Winter,2018,A,Not enough information available.,No grade breakdown available.,4.6666666667,Yes
2696,Winter,2017,RINA BARBER,Not enough information available.,project: 50%; assignments: 50%,-9.5,No
2675,Spring,2017,YIBI HUANG,2,homework: 30%; midterm : 30%; final : 40%,0,No
840,Autumn,2017,KOTARO YOSHIDA,0,No grade breakdown available.,3,Yes
3650,Winter,2018,N,0,No grade breakdown available.,N/A,N/A
3650,Winter,2018,/,0,No grade breakdown available.,N/A,N/A
3650,Winter,2018,A,0,No grade breakdown available.,N/A,N/A
275,Winter,2018,JONATHAN MOSS,Not enough information available.,No grade breakdown available.,N/A,N/A
2559,Winter,2018,ROSS M STOLZENBERG,1,No grade breakdown available.,0.6666666667,Yes
3779,Autumn,2017,N,1,homework: 20%; midterm: 20%,1.3333333333,Yes
3779,Autumn,2017,/,1,homework: 20%; midterm: 20%,1.3333333333,Yes
3779,Autumn,2017,A,1,homework: 20%; midterm: 20%,1.3333333333,Yes
2681,Spring,2016,DEY KUSHAL,Not enough information available.,No grade breakdown available.,N/A,N/A
2681,Spring,2016,COLLINS LINDA,Not enough information available.,No grade breakdown available.,N/A,N/A
2681,Spring,2016,JAHANGOSHAHI MOHAMMAD,Not enough information available.,No grade breakdown available.,N/A,N/A
2246,Autumn,2018,JAMES A LEITZEL,0,No grade breakdown available.,1.5,Yes
1223,Autumn,2017,COLIN BENERT,Not enough information available.,No grade breakdown available.,0,No
662,Winter,2018,JOHN REPPY,0,projects: 15%; assignments: 20%; lab exercises: 15%,7,No
662,Winter,2018,TIMOTHY BLACK,0,projects: 15%; assignments: 20%; lab exercises: 15%,7,No
2832,Spring,2018,N,0,attendance: 25%; discussion question: 40%; canvas quizzes: 35%; class discussion: 25%; scale 93: 100%; a 90: 92.9%; b 80: 82.9%; c 70: 72.9%,0,Yes
2832,Spring,2018,/,0,attendance: 25%; discussion question: 40%; canvas quizzes: 35%; class discussion: 25%; scale 93: 100%; a 90: 92.9%; b 80: 82.9%; c 70: 72.9%,0,Yes
2832,Spring,2018,A,0,attendance: 25%; discussion question: 40%; canvas quizzes: 35%; class discussion: 25%; scale 93: 100%; a 90: 92.9%; b 80: 82.9%; c 70: 72.9%,0,Yes
341,Winter,2018,"MEISHAN ZHAO, NORBERT SCHERER",2,homework: 30%,2,Yes
341,Winter,2018,"MEISHAN ZHAO, ANDREI TOKMAKOFF",2,homework: 30%,2,Yes
3612,Spring,2017,N,Not enough information available.,No grade breakdown available.,1.5,Yes
3612,Spring,2017,/,Not enough information available.,No grade breakdown available.,1.5,Yes
3612,Spring,2017,A,Not enough information available.,No grade breakdown available.,1.5,Yes
3651,Spring,2017,JENNA SARCHIO,Not enough information available.,final exam: 30%,N/A,N/A
1958,Autumn,2018,"CLIFTON W RAGSDALE, PEGGY MASON",0,final exam: 10%,N/A,N/A
2161,Winter,2018,JAMES A LEITZEL,Not enough information available.,No grade breakdown available.,1.5,Yes
3639,Winter,2018,NATHAN HOKS,Not enough information available.,No grade breakdown available.,2,No
3614,Winter,2018,N,Not enough information available.,paper: 20%; paper: 40%; reading presentations: 40%,2,No
3614,Winter,2018,/,Not enough information available.,paper: 20%; paper: 40%; reading presentations: 40%,2,No
3614,Winter,2018,A,Not enough information available.,paper: 20%; paper: 40%; reading presentations: 40%,2,No
942,Winter,2019,N,Not enough information available.,participation: 10%; march 23: 35%,1.5,Yes
942,Winter,2019,/,Not enough information available.,participation: 10%; march 23: 35%,1.5,Yes
942,Winter,2019,A,Not enough information available.,participation: 10%; march 23: 35%,1.5,Yes
339,Spring,2018,MEISHAN ZHAO,1,homework: 5%; final exam: 30%,2,No
339,Spring,2018,"MEISHAN ZHAO, LUPING YU",1,homework: 5%; final exam: 30%,2,No
1367,Winter,2018,SUSAN BURNS,0,No grade breakdown available.,0,Yes
1367,Winter,2018,SUSAN BURNS,0,No grade breakdown available.,0,Yes
1367,Winter,2018,SUSAN BURNS,0,No grade breakdown available.,0,Yes
1686,Winter,2019,QUTBUDDIN TAHERA,0,final exam: 30%; participation: 10%,3,No
1686,Winter,2019,KADI WADAD AFIF,0,final exam: 30%; participation: 10%,3,No
1686,Winter,2019,WADAD KADI,0,final exam: 30%; participation: 10%,3,No
1140,Winter,2019,CONZEN MICHAEL P,0,No grade breakdown available.,N/A,N/A
1140,Winter,2019,MICHAEL P CONZEN,0,No grade breakdown available.,N/A,N/A
377,Winter,2018,N,Not enough information available.,No grade breakdown available.,0,Yes
377,Winter,2018,/,Not enough information available.,No grade breakdown available.,0,Yes
377,Winter,2018,A,Not enough information available.,No grade breakdown available.,0,Yes
3692,Winter,2019,N,Not enough information available.,final paper: 50%; participation: 20%; assignments: 30%,6.5,No
3692,Winter,2019,/,Not enough information available.,final paper: 50%; participation: 20%; assignments: 30%,6.5,No
3692,Winter,2019,A,Not enough information available.,final paper: 50%; participation: 20%; assignments: 30%,6.5,No
753,Winter,2019,N,Not enough information available.,No grade breakdown available.,3.5,No
753,Winter,2019,/,Not enough information available.,No grade breakdown available.,3.5,No
753,Winter,2019,A,Not enough information available.,No grade breakdown available.,3.5,No
2968,Winter,2018,BREHM JOHN,0,No grade breakdown available.,2,No
2968,Winter,2018,OLIVER ERIC,0,No grade breakdown available.,2,No
2968,Winter,2018,WILLIAMSON ELIZABETH,0,No grade breakdown available.,2,No
1442,Winter,2019,GEYER MICHAEL E,Not enough information available.,No grade breakdown available.,3,No
1442,Winter,2019,AMOS JENNIFER,Not enough information available.,No grade breakdown available.,3,No
1442,Winter,2019,SPARROW JAMES,Not enough information available.,No grade breakdown available.,3,No
2057,Winter,2018,"LINDA ZERILLI, ANN HEFFERNAN",Not enough information available.,No grade breakdown available.,6.8333333333,No
2912,Winter,2017,CHRISTOPHER WILD,Not enough information available.,No grade breakdown available.,3,No
2912,Winter,2017,SAMANTHA FENNO,Not enough information available.,No grade breakdown available.,3,No
2912,Winter,2017,SAMANTHA FENNO,Not enough information available.,No grade breakdown available.,3,No
2920,Autumn,2016,BENJAMIN MORGAN,Not enough information available.,participation: 5%; assignments: 20%; paper 1: 15%; paper 2: 25%; paper 3: 35%; 750 words: 15%; 1000 words: 25%; 1500 words: 35%,4,Yes
1606,Spring,2018,MARY SILBER,Not enough information available.,homework: 20%; midterm : 25%; final : 45%; quizzes: 10%,0,Yes
833,Spring,2018,"JOHN LIST, STEVEN LEVITT",0,No grade breakdown available.,4.5,No
1678,Spring,2018,RACHEL FULTON BROWN,0,3 pages: 10%; class discussion: 20%,2,No
3719,Winter,2019,SARA STOELINGA,Not enough information available.,No grade breakdown available.,3,No
1593,Autumn,2017,OLIVIER MARTIN,Not enough information available.,homework: 10%; each final: 40%,-10,No
1593,Autumn,2017,HENRY SCHER,Not enough information available.,homework: 10%; each final: 40%,-10,No
1593,Autumn,2017,GIANG TRAN,Not enough information available.,homework: 10%; each final: 40%,-10,No
682,Spring,2018,IAN FOSTER,Not enough information available.,participation: 10%,N/A,N/A
743,Winter,2019,N,0,final exam: 25%; participation: 20%; projects: 45%; assignments: 10%,0,Yes
743,Winter,2019,/,0,final exam: 25%; participation: 20%; projects: 45%; assignments: 10%,0,Yes
743,Winter,2019,A,0,final exam: 25%; participation: 20%; projects: 45%; assignments: 10%,0,Yes
3624,Spring,2018,N,0,final exam: 30%; participation: 5%; problem sets: 55%; final presentation: 10%,0,No
3624,Spring,2018,/,0,final exam: 30%; participation: 5%; problem sets: 55%; final presentation: 10%,0,No
3624,Spring,2018,A,0,final exam: 30%; participation: 5%; problem sets: 55%; final presentation: 10%,0,No
3627,Spring,2017,ADRIENNE BROWN,Not enough information available.,attendance: 20%; project: 30%; a class: 5%; canvas posts: 20%,2,No
3705,Spring,2017,N,Not enough information available.,No grade breakdown available.,0,Yes
3705,Spring,2017,/,Not enough information available.,No grade breakdown available.,0,Yes
3705,Spring,2017,A,Not enough information available.,No grade breakdown available.,0,Yes
3635,Spring,2017,FORREST STUART,Not enough information available.,assignment: 20%; 1: 20%; 2: 20%,4,No
3699,Winter,2017,MARGARET SPENCER,Not enough information available.,No grade breakdown available.,0,Yes
1863,Autumn,2017,CHRISTOPHER WOODS,0,final paper: 30%; participation: 10%; reading responses: 10%,1,Yes
2307,Winter,2019,ALBA GIRONS MASOT,Not enough information available.,participation: 10%; project: 25%,N/A,N/A
1564,Autumn,2017,JEFFREY GEIGER,0,No grade breakdown available.,2,No
2679,Winter,2018,"LIN CHEN, JAMES DIGNAM, DONALD HEDEKER",Not enough information available.,No grade breakdown available.,1,Yes
2852,Winter,2019,BURNS SUSAN,1,No grade breakdown available.,0,Yes
